,finnish,russian
973,Ei se niin mennyt. Hän ei tavoitellut asettasi.,Посмотри!
974,Kuuntele kielenkäyttöäsi.,"Ты, верно, в ярости."
975,Isäsi pystyy sulkemaan Skynetin.,- Стой здесь.
976,Siinä se Mersu on.,"А Форман был прав. Может, Форман и насчет нас был прав."
977,"Tämä tavallinen kiinalainen uudenvuodentervehdys korostaa aineellista menestystä, mikä on hyvin yleinen ajattelutapa kautta maailman.","Хорошо. давай-ка посмотрим, что мы можем увидеть"
978,"Minulla on kaksi uutta kättä, Blade.","Ты хоть имеешь представление о том ущербе, который ты наносишь?"
979,Miksi he toimivat viipymättä ja päättäväisesti?,"Суперкомпьютеры, которые используют военные."
980,Mitä sanoin sinulle?,"А затем, проплыв где-то милю, я изменил точку зрения."
981,Minun on kysyttävä ampumisesta.,Правда?
982,- Lasketaan uutta reittiä.,"У нас своих денег целый сейф, зачем нам твои?"
983,- Yritetään.,Как насчёт этого парня?
984,Lue mikä on Raamatun näkökanta. [ Kuvan lähdemerkintä s.,"К примеру, сегодня вокруг нас много вещей, которые могут породить неправильные желания."
985,Olen serkkusi Ralph.,"Ты же говорила, оно безупречно. Тетерборо, мост Джорджа Вашингтона, офис."
986,Tästä se lähtee.,"- Ребекка, это не смешно."
987,"Luotin sinuun, ja nyt tämä juttu.",Я не увиливаю. Я просто...
988,"Meidän kaupunkimme, meidän työmme.",Так. Хорошо. Ты полностью расширена.
989,Hetkinen.,"Живи так, как тебе нравится."
990,Yksi kokkasi aterian itselleen.,И спустя 9 лет
991,Valmista tuli.,Мальчика тут нет.
992,"Yksi on Hannah Ketcham, 74-vuotias.","Ты в курсе, почему я это делаю."
993,Tuli seis.,Просто не волнуйся про последствия ответа. - Как я сделала только что?
994,Tämä on yksi parhaista sairaaloita.,Кто-нибудь! Помогите!
995,Tom.,Они относятся к корпорации.
996,Ripley ja Wellssi ovat valmiita valmistuksessa.,И не вскрыть вагоны? .
997,Kaikkialtako? Idästäkin?,Он обращает заклинание.
998,"Kuvittele hänen hämmästystään, kun hän kuuli Jeesuksen sanat ” minä olen ylösnousemus ja elämä ” ja näki Jeesuksen herättävän hänen veljensä kuolleista.",Вы не должны были делать все это.
999,"Tosiaankin aivan kuten te japanilaiset olette omaksuneet joulun buddhalaiseen ja šintolaiseen kulttuuriinne, kristikunnan kirkot ovat omaksuneet pakanallisia juhlia ” kristilliseen ” perinteeseensä.","Знаешь, каково это заниматься сексом с женщиной, которая не хочет тебя больше видеть?"
1000,"-Angel. -Jep, kulta.","Они не боятся, что терроризм будет существовать всегда, — они уверены, что с ним будет покончено, и очень скоро."
1001,- Hetken päästä.,"Вы предприняли по-настоящему героические усилия, чтобы спасти их отца, и всё же, всё, что вспомнит его семья - доктора, который принёс им самые страшные новости с шоколадным батончиком в руках. Позвольте мне спросить вас ..."
1002,En haluaisi Brulardin höykytettäväksi.,"Ну, это Фредди так сказал. А я про себя подумала,"
1003,- Miten vain. - Ole varovainen.,Конечно.
1004,"Kaikki toimi saumattomasti, kunnes neiti Brooks varasti teidät.",Да.
1005,Keitä he ovat?,Да?
1006,Otin voimakentän pois päältä.,В чём дело?
1007,Kyse on suuresta omaisuudesta.,"- Ну как он, клюнул?"
1008,Minulla oli ensimmäinen terä. Nyt minulla on Kainin merkki täydentämään kokoelmaa.,Блю Джей Четыре возвращается.
1009,Kuolemaan johtaneista tapaturmista ainoastaan kaatumisissa ja moottoriajoneuvoilla sattuneissa onnettomuuksissa kuoli enemmän iäkkäitä amerikkalaisia.,Так?
1010,"Hänellä on vapaailta, Ben hoitaa iltavuoron.","Слышала, что он сказал?"
1011,Mitä tuomari sanoi kuullessaan neiti Armfeldtista?,"Даже не знаю, смог бы я такое представить."
1012,Hän on ollut avoimesti homo 6 vuotta mutta ei ole ikinä tapaillut miestä.,Его имя Эндрю Диггл.
1013,-Koska sinut muistetaan tämän jälkeen.,- Сделать что?
1014,Kertaakaan. - Miehesi on lääkäri.,Руководство по PHP
1015,- Okei hienoa.,"Да, да, да!"
1016,Perääntykää!,У нас замечательный случай.
1017,Lähdetään.,"-Анька, Он был с тобой, страшная шведская блядь!"
1018,- Minua askarrutti myös...,"Никто не проверил, будут ли уплотнители работать в холоде."
1019,He kaikki kuulostavat upeilta.,"Я сделаю пельмени, у меня для них все есть, а ты купи немного зелени."
1020,- Etsimme kadonnutta asetta.,"Всегда любопытно было, найду ли я тебя?"
1021,Nyt luen Raamattua säännöllisesti.,Что значит - до вечера?
1022,- Ei. Olemme oikeasti matkalla.,- Не понял?
1023,"En luovu toivosta, että olemme vielä yhdessä.",Зря время теряешь.
1024,- Grace!,- Как дела?
1025,Nyt tämä näyttää paremmalta.,"А, да."
1026,Tohtori Paha on kaapannut ydinkärjen Kreplachistanista.,Мы не продаем.
1027,Katso!,Он втюрился. Шэрон пригласил на свидание.
1028,Olet varmasti raivoissasi.,Тогда я постою - будет проще уйти.
1029,- Odota tässä.,"Вы смущаете мужчин, чтобы ими управлять. Но на самом деле, в глубине души,"
1030,"- Olimme väärässä, Foreman oikeassa.",Питерсон – один из самых молодых менеджеров во всей финансовой индустрии.
1031,"Katsotaanpa, mitä voimme katsoa.",Джудит с самого начала невзлюбила Лену.
1032,Tajuatko yhtään minkälaista vahinkoa aiheutat?,- Но в его квартире ваши отпечатки.
1033,"Supertietokoneita, armeijan laitteita.","Настоящая, кстати."
1034,Puolentoista kilometrin päässä rannasta - muutin mieleni.,"Я могу сдать Тито Руиза. О, да ладно, Джуди!"
1035,Ihanko totta?,"Во-первых, как после того, как ты сбежал от сотен полицейских, чтобы добраться сюда, ты попал в руки к этим придуркам на парковке?"
1036,- Omistamme itsekin tarpeeksi.,"Еще увидимся, Шон."
1037,Entä tämä kaveri?,Я просто верю в это.
1038,"Esimerkiksi nykyään on tarjolla runsaasti aineistoa, joka on suunniteltu herättämään luvattomia haluja.",Очередная ступень в этом соревновании.
