,english,finnish
1017,Danger ahead.,Vaara edessä.
1018,You're unemotional.,Olet tunteeton.
1019,"While you drive, you should focus on the road.",Kun sää ajat niin sun pitäis keskittyy tiähen.
1020,How do you spell Algiers?,Miten Alger kirjoitetaan?
1021,He is a man with a classical education.,"Hän on mies, jolla on klassinen koulutus."
1022,I can't agree with Tom.,En voi olla samaa mieltä Tomin kanssa.
1023,A lot of people are now trying to sell their houses.,Monet ihmiset yrittävät myydä nyt talojaan.
1024,"I must be careful with how I sit in this cheap IKEA office chair, to make sure that the two screws poking through the synthetic cover don't prick me in the thighs.","Minun täytyy olla varovainen tällä halvalla IKEA-toimistotuolilla istuessani, jotteivät synteettisen päällisen läpi puskevat kaksi ruuvia tökkää pakaroitani."
1025,Talk to my lawyers.,Puhukaa lakimiehilleni.
1026,Tom will show you what to do.,Tom näyttää sinulle mitä tehdä.
1027,We don't want it.,Emme halua sitä.
1028,She was careful not to break the glasses.,Hän varoi rikkomasta laseja.
1029,Tom is probably going to get caught.,Todennäköisesti Tomi jää kiinni.
1030,Tom doesn't remember the last time he saw Mary.,"Tom ei muista edellistä kertaa, jolloin hän näki Marin."
1031,I am not good at sports.,En ole hyvä urheilussa.
1032,I'm looking forward to tomorrow.,Odotan kovasti huomista.
1033,You said you'd help her.,"Sinä sanoit, että sinä auttaisit häntä."
1034,Your criticism is very unfair.,Kritiikkisi on erittäin epäreilua.
1035,It caught me by surprise.,Se yllätti minut.
1036,I put a brick on top of the rubbish bin so the wind wouldn't tear it open.,"Panen tiiliskiven roskapöntön päälle, ettei tuuli revi sitä auki."
1037,I'm sure we'd be able to get this done by 2:30 if Tom helped us.,"Olen varma että voisimme tehdä tämän 2.30 mennessä, jos Tom auttaisi meitä."
1038,I didn't sing.,Mä en laulanu.
1039,Do you work?,Teetkö sinä töitä?
1040,Tom hit me.,Tomi löi minua.
1041,I'll never find true love.,En ikinä löydä tosirakkautta.
1042,I wouldn't worry about them.,Minä en olisi huolissani heistä.
1043,He got a lot of money.,Hänellä on paljon rahaa.
1044,It is already eleven.,Kello on jo yksitoista.
1045,I want you to sing the song.,Haluan sinun laulavan laulun.
1046,I have a daughter who's 13 years old.,"Minulla on tytär, joka on kolmetoistavuotias."
1047,Tom was shy at first.,Tomi oli aluksi ujo.
1048,I feel like a pizza.,Minulle maistuisi pizza.
1049,Can you hear that?,Kuuletteko tuon?
1050,I hate school.,Vihaan koulua.
1051,Tom has been missing three weeks.,Tomi on ollut kateissa kolme viikkoa.
1052,Who's in there now?,Kuka on siellä nyt?
1053,Tom loved teaching French.,Tomin mielestä ranskan opettaminen oli ihanaa.
1054,Game over.,Peli on ohi.
1055,Go do your homework.,Mene tekemään läksysi.
1056,You have thirty messages.,Sinulle on kolmekymmentä viestiä.
1057,How long do I have to stay?,Kuinka pitkäksi aikaa minun täytyy jäädä?
1058,He wore a light blue tie.,Hänellä oli kaulassaan vaalean sininen solmio.
1059,Which is the best way to travel?,Mikä on paras tapa matkustaa?
1060,Tom was born the same day as his cat.,Tom syntyi samana päivänä kuin hänen kissansa.
1061,That was a stupid thing to say.,Se oli typerästi sanottu.
1062,Forget it.,Unohda se.
1063,At first he hated her but gradually came to love her.,"Aluksi mies vihasi häntä, mutta vähittelen rakastui häneen."
1064,I didn't know that Tom spoke French.,"En tiennyt, että Tom puhuisi ranskaa."
1065,I'd like you to translate this letter into French.,"Haluaisin, että kääntäisit tämän kirjeen ranskaksi."
1066,He looks healthy.,Hän näyttää terveeltä.
1067,That tastes terrible.,Tuo maistuu kauhealta.
1068,Be sincere with me.,Ole rehellinen minulle.
1069,"If I should ever die, God forbid, let this be my epitaph: The only proof he needed for the existence of God was music.","Mikäli, Luoja paratkoon, kuolen joskus, olkoon tämä hautakirjoituksenani: musiikki riitti todistamaan hänelle Jumalan olemassaolon."
1070,I write in my diary every day.,Pidän päiväkirjaa joka päivä.
1071,Why is it such a big deal?,Miksi se on niin tärkeä asia?
1072,You can't do that anymore.,Ette te voi enää tehdä tuota.
1073,Kisses!,Pusuja!
1074,You must succeed where the greatest of heroes has failed.,Sinun täytyy onnistua siinä missä suurimmatkin sankarit ovat epäonnistuneet.
1075,Are they speaking French?,Puhuvatko he ranskaa?
1076,I stayed up working.,Valvoin töitä tehden.
1077,Did you get my message?,Saik sä mun viestin?
1078,"Oh, sorry, I didn't know it was illegal.","Ai, anteeksi, en tiennyt, että se on laitonta."
1079,How can you not remember?,Miten voit olla muistamatta?
1080,Tom is shallow and materialistic.,Tomi on pinnallinen ja materialistinen.
1081,"In two days, I'll turn 13.",Ylihuomenna täytän kolmetoista.
1082,Tom can't refuse.,Tom ei voi kieltäytyä.
1083,Do you have children?,Onko sinulla lapsia?
1084,This is all I want to do.,Tässä on kaikki mitä haluan tehdä.
1085,My mother warned me not to follow in the footsteps of my sister.,Äitini varoitti minua seuraamasta siskoni jalanjäljissä.
1086,Tom is very choosy.,Tomi on todella nirso.
1087,They bullied me.,Ne kiusas mua.
1088,I know that girl.,Tunnen tuon tytön.
1089,I promised my parents I wouldn't drink.,"Lupasin vanhemmilleni, etten joisi."
1090,She got to the station at seven.,Hän saapui asemalle seitsemältä.
1091,"Tom is a chiropractor, isn't he?","Tom on kiropraktikko, vai?"
1092,You can't be too careful when doing this experiment.,Te ette voi olla liian varovaisia tätä koetta tehdessänne.
1093,There is a car in front of the church.,Kirkon edessä on auto.
1094,We will debate this subject at the meeting.,Tulemme debatoimaan tästä aiheesta kokouksessa.
1095,Did they do something to Tom?,Tekivätkö he jotain Tomille?
1096,Tom said Mary was driving the car.,"Tom sanoi, että Mari ajoi autoa."
1097,"How many countries have names that start with the letter ""Y""?",Kuinka moni maa alkaa kirjaimella ”y”?
1098,This is the beginning of a new era.,Tämä on uuden aikakauden alku.
1099,It's been a good year.,Vuosi on ollut hyvä.
1100,Tom has never trusted me.,Tomi ei ole koskaan luottanut minuun.
1101,You'll never know unless you try.,"Ette saa koskaan tietää, ellette kokeile."
1102,"As long as I've known about the existence of the university, I've wanted to go there.","Aina siitä lähtien kun sain tietää yliopiston olemassaolosta, halusin alkaa käydä sitä."
1103,Please deal the cards.,Ole kiltti ja jaa kortit.
1104,It's a must-see.,Se on nähtävä ehdottomasti.
1105,Fag.,Homo.
1106,How does it feel to be back home?,Miltä tuntuu olla taas kotona?
1107,I slept a lot.,Minä nukuin pitkään.
1108,"Incidentally, this room doesn't have anything like an air conditioner. All it has is a hand-held paper fan.","Muuten, tässä huoneessa ei ole mitään ilmastointiin viittaavaakaan. Täällä on vain paperiviuhka, ei muuta."
1109,Tom can hardly fit into the jeans he bought last year.,"Tom pystyy hädintuskin mahtumaan farkkuhin, jotka hän osti viime vuonna."
1110,What are you talking about?,Mistä sinä oikein puhut?
1111,I am writing a study of the French Revolution.,Kirjoitan tutkielmaa Ranskan vallankumouksesta.
1112,How far is it to this university?,Kuinka kaukana yliopisto on?
1113,What a bummer!,Mikä pettymys!
1114,Nobody has solved the problem.,Kukaan ei ole ratkaissut tätä ongelmaa.
1115,Wash up.,Peseydy.
1116,He was burning to go home.,Hän aivan paloi halusta päästä kotiin.
1117,She may have misunderstood you.,Hän saattoi ymmärtää sinut väärin.
1118,I've done so.,Olen tehnyt niin.
1119,It is difficult to walk 60 kilometers a day.,On vaikeata kävellä 60 kilometriä päivässä.
1120,The stink from the garbage was overwhelming.,Roskien löyhkä oli musertava.
1121,Tom wanted to marry Mary.,Tom tahtoi mennä Marin kanssa naimisiin.
1122,"I don't know whether I can do it, but I'll try.","Minä en tiedä, että pystynkö siihen, mutta minä yritän."
1123,"During the Renaissance, artists depended on patrons for money.",Renessanssin aikana taiteilijat olivat riippuvaisia mesenaattiensa rahoituksesta.
1124,You are strong-minded.,Sinulla on luja tahto.
1125,Why were you with him?,Miksi sinä olit hänen seurassaan?
1126,"She has two sisters, who live in Kyoto.",Hänellä on kaksi Kiotossa asuvaa sisarta.
1127,Do you speak French well?,Puhutko sinä ranskaa hyvin?
1128,Tom is worried about being sued.,Tom pelkää joutuvansa oikeuteen.
1129,You've lost your marbles.,Te olette menettäneet järkenne.
1130,I feel lonely.,Tunnen oloni yksinäiseksi.
1131,May I ask you to help me with something?,Saanko pyytää apuasi yhdessä asiassa?
1132,He pressed his lips against mine.,Hän painoi huulensa huuliani vasten.
1133,The girl jumped to her feet and left the room.,Tyttö ponnahti seisomaan ja lähti pois huoneesta.
1134,Tom has no conception of what it's like to be in love.,Tom ei ymmärrä ollenkaan miltä tuntuu olla rakastunut.
1135,Our band has never played disco music.,Bändimme ei ole koskaan soittanut diskomusaa.
1136,What kind of person is Tom?,Millainen henkilö Tom on?
1137,Joseph Goebbels was the Nazi minister of Public Enlightenment and Propaganda.,Joseph Goebbels oli natsien kansanvalistus- ja propagandaministeri.
1138,I can't go back with them.,En voi mennä takaisin heidän kanssaan.
1139,Tom was supposed to be here by now.,Tomin oletettiin olevan täällä tähän mennessä.
1140,How many of them were there?,Kuinka monta heistä oli siellä?
1141,I won't tell you.,Minä en kerro sinulle.
1142,And how are things in Washington?,Entä mitä Washingtoniin kuuluu?
1143,Tom'll find out sooner or later.,Tomi saa sen selville ennemmin tai myöhemmin.
1144,It's hot today.,Tänään on kuuma sää.
1145,Where were you before when I needed you?,"Missä olitte aikaisemmin, kun minä tarvitsin teitä?"
1146,You can go wherever you want to go.,Sinä voit mennä minne vain haluat.
1147,I'm responsible for the mistake.,Olen vastuussa kyseisestä virheestä.
1148,Tom thought that Mary wouldn't like Malaysian food.,"Tom ajatteli, ettei Mari pitäisi malesialaisesta ruoasta."
1149,Tom was on the other side of town at the time of the shooting.,Tom oli toisella puolen kaupunkia kun ampuminen tapahtui.
1150,Tom gave a speech in French.,Tom piti puheen ranskaksi.
1151,Everybody has to adjust.,Kaikkien täytyy sopeutua.
1152,I feel very humbled.,Tunnen oloni hyvin nöyräksi.
1153,I just ran into Tom in the dining hall.,Törmäsin juuri Tomiin ruokalassa.
1154,We checked in at the hotel at 5 p.m.,Kirjauduimme sisään hotelliin kello 17.
1155,I have to do something else now.,Minun täytyy tehdä nyt jotain muuta.
1156,It is spelled the same in both languages.,Se kirjoitetaan samoin kummassakin kielessä.
1157,Tom told his children to get ready for school.,Tom käski lapsiaan laittautumaan valmiiksi koulua varten.
1158,I read a newspaper every day so that I may keep up with the time.,Luen joka päivä sanomalehtiä pysyäkseni ajan tasalla.
1159,Where did you go last Sunday?,Missä kävit viime sunnuntaina?
1160,I want your blood.,Haluan vertasi.
1161,Why did you do something stupid like that?,Miksi sinä teit jotain noin typerää?
1162,"She is very pretty, isn't she?","Hän on todella nätti, eikö olekin?"
1163,I didn't have any problems.,Ei mulla ollu lainkaan onkelmia.
1164,Tom and Mary were both confused.,Tomi ja Mari olivat molemmat hämmentyneitä.
1165,Tom has twice as many books as I do.,Tomilla on kaksi kertaa enemmän kirjoja kuin minulla.
1166,"If the weather is good, we'll get there tomorrow.","Jos sää on hyvä, me saavumme sinne huomenna."
1167,Tom works for a small company.,Tomi on töissä pienessä yrityksessä.
1168,I have almost no money now.,Minulla ei ole melkein lainkaan rahaa nyt.
1169,Tom was fluent in French.,Tomin ranska oli sujuvaa.
1170,This is Tom's school.,Tämä on Tomin koulu.
1171,"Tom waited a long time for Mary, but she never showed up.","Tom odotti pitkän aikaa Marya, mutta hän ei koskaan ilmaantunut."
1172,How can I go on?,Miten minä voin jatkaa?
1173,Tom thought Mary would be hesitant to do that.,"Tommi ajatteli, että Mari epäröisi tehdä tuota."
1174,I took a shower and then went to bed.,"Kävin suihkussa, ja sitten menin nukkumaan."
1175,"The teacher asked him, ""What's the square root of 256?""",Opettaja kysyi häneltä: ”Mikä on kahdensadanviidenkymmenenkuuden neliöjuuri?”
1176,Who is responsible for high unemployment?,Kuka on vastuussa korkeasta työttömyydestä?
1177,Tom died later that year.,Tomi kuoli myöhemmin sinä vuonna.
1178,Who did this to you?,Kuka teki tämän sinulle?
1179,It reminded me of you.,Se toi sinut mieleeni.
1180,I don't like to talk about myself.,Mä en tykkää puhua ittestäni.
1181,"A building with high ceilings and huge rooms may be less practical than the colorless block of offices that takes its place, but it often fits in well with its surroundings.","Rakennus, jossa on korkeakattoiset ja valtavat huoneet, saattaa olla vähemmän käytännöllinen kuin se väritön toimiston järkäle, joka sen tilalle rakennetaan, mutta vanha rakennus sopii usein hyvin ympäristöönsä."
1182,Just promise me that you won't do anything stupid.,"Lupaathan minulle, että et tee mitään typerää."
1183,Can you fix my broken tire now?,Voitko korjata rikkoutuneen renkaani nyt?
1184,Tom is grieving.,Tomi suree.
1185,"Hawaii is often referred to as ""The Pearl of the Pacific.""","Hawaijiin viitataan usein ""Tyynenmeren helmenä""."
1186,I wonder whose car this is.,Kenenköhän auto tämä on?
1187,Tom saw his name written on the blackboard.,Tomi näki nimensä kirjoitettuna liitutaululle.
1188,It looks like a camera of some kind.,Se näyttää jonkinlaiselta kameralta.
1189,It's nearly three o'clock.,Kello on melkein kolme.
1190,Be vigilant.,Ole valpas.
1191,He's so stupid.,Hän on niin tyhmä.
1192,Bring the water to a boil.,Keitä vesi kiehuvaksi.
1193,"Can you speak French, too?",Osaatko puhua myös ranskaa?
1194,I gave Tom a hug.,Halasin Tomia.
1195,Fire! Run!,Ammu! Juokse!
1196,It is a lot of fun to drive a car.,Auton ajaminen on todella hauskaa.
1197,Tom is good at French.,Tom on hyvä ranskassa.
1198,Tom put the diary in the drawer.,Tomi laittoi päiväkirjan vetolaatikkoon.
1199,Just go away.,Mee ny vaan pois.
1200,What are we waiting for?,Mitä me odotamme?
1201,She's eating an apple.,Hän syö omenaa.
1202,Tom didn't stir.,Tomi ei liikahtanut.
1203,How do you do?,Mitä kuuluu?
1204,How come she hung up on you?,Miksi hän löi luurin korvaasi?
1205,Your door was unlocked.,Ovesi ei ollut lukossa.
1206,I guess they speak French.,"Arvelisin, että he puhuvat ranskaa."
1207,He is a type of a person who calls a spade a spade.,"Hän on sen tyyppinen henkilö, joka kutsuu asioita niiden oikeilla nimillä."
1208,You were beginning to worry me.,Sinä aloit huolestuttaa minua.
