,english,russian
1100,We sold our souls for money.,Мы продали наши души за деньги.
1101,Are you working tonight?,Ты сегодня вечером работаешь?
1102,The wind was howling.,Ветер завывал.
1103,I did not see her much.,Я редко её встречал.
1104,I know that's real important.,"Я знаю, что это действительно важно."
1105,I am eating an apple.,Я ем яблоко.
1106,Tom works as hard as any boy in the class.,"Том учится так же прилежно, как другие мальчики их класса."
1107,I am not hungry.,Я не голодный.
1108,Their job is to cook for the soldiers.,Их работа - готовить еду для солдат.
1109,What happens if we get caught?,"Что будет, если нас поймают?"
1110,I can put things in a box.,Я могу положить вещи в коробку.
1111,I'm going to clean your bedroom today.,Я собираюсь навести порядок в твоей спальне сегодня.
1112,He speaks five languages.,Он владеет пятью языками.
1113,Tom did not have an easy childhood.,У Тома было непростое детство.
1114,I am divorced.,Я разведена.
1115,How did you know that Tom was sick?,"Откуда вы знали, что Том болен?"
1116,I love the way you say my name.,"Мне нравится, как вы произносите моё имя."
